ticket_id,customer_age,customer_gender,product_purchased,date_of_purchase,ticket_type,ticket_subject,ticket_description,ticket_text,ticket_status,resolution,ticket_priority,ticket_channel,first_response_time,time_to_resolution,customer_satisfaction_rating,description_length,subject_length,resolution_length,resolution_was_missing,customer_satisfaction_rating_was_missing,first_response_time_was_missing,time_to_resolution_was_missing,ticket_description_was_missing,ticket_subject_was_missing
5194,46,Male,Microsoft Surface,2021-01-09,Product inquiry,Account access,"I'm having an issue with the {product_purchased}. Please assist. Your product has now shipped to us and the seller agreed to ship to your address for you to use. Thank you


Shipping

We believe you will ship I've tried clearing the cache and data for the {product_purchased} app, but the issue persists.","Account access I'm having an issue with the {product_purchased}. Please assist. Your product has now shipped to us and the seller agreed to ship to your address for you to use. Thank you


Shipping

We believe you will ship I've tried clearing the cache and data for the {product_purchased} app, but the issue persists.",Open,No resolution provided,High,Email,Not available,Not available,-1.0,304,14,0,1,1,1,1,0,0
8011,57,Female,Microsoft Xbox Controller,2021-01-01,Cancellation request,Payment issue,"I've encountered a data loss issue with my {product_purchased}. All the files and documents seem to have disappeared. Can you guide me on how to retrieve them? Thanks! <s2> (2:23) (edited 3 I'm using the original charger that came with my {product_purchased}, but it's not charging properly.","Payment issue I've encountered a data loss issue with my {product_purchased}. All the files and documents seem to have disappeared. Can you guide me on how to retrieve them? Thanks! <s2> (2:23) (edited 3 I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Closed,Toward strategy scene difficult wide child others suggest.,Medium,Phone,2023-06-01 14:30:43,2023-06-01 22:41:43,3.0,291,13,58,0,0,0,0,0,0
5693,60,Female,Samsung Soundbar,2021-09-16,Technical issue,Account access,"I'm having an issue with the {product_purchased}. Please assist.

The item is currently under repair. The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.","Account access I'm having an issue with the {product_purchased}. Please assist.

The item is currently under repair. The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Pending Customer Response,No resolution provided,Medium,Chat,2023-06-01 08:05:18,Not available,-1.0,205,14,0,1,1,0,1,0,0
790,45,Other,Nintendo Switch Pro Controller,2021-09-06,Billing inquiry,Payment issue,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

Not really, at least from a hardware perspective. The hardware I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.","Payment issue I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

Not really, at least from a hardware perspective. The hardware I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.",Open,No resolution provided,Critical,Email,Not available,Not available,-1.0,348,13,0,1,1,1,1,0,0
7496,51,Female,Canon DSLR Camera,2020-05-13,Technical issue,Software bug,"I'm having an issue with the {product_purchased}. Please assist.

You cannot add value by spending a minimum of $20. Any changes to the {product_purchased} will violent make this purchase. I've already contacted customer support multiple times, but the issue remains unresolved.","Software bug I'm having an issue with the {product_purchased}. Please assist.

You cannot add value by spending a minimum of $20. Any changes to the {product_purchased} will violent make this purchase. I've already contacted customer support multiple times, but the issue remains unresolved.",Closed,Hope head sea.,High,Phone,2023-06-01 13:58:55,2023-06-01 22:52:55,4.0,278,12,14,0,0,0,0,0,0
1489,37,Male,MacBook Pro,2021-10-25,Cancellation request,Software bug,"I'm having an issue with the {product_purchased}. Please assist.

3. How do I switch the product from a gift?

Switch the product from gift to gift.


This tool will automatically switch the product I've tried different settings and configurations on my {product_purchased}, but the issue persists.","Software bug I'm having an issue with the {product_purchased}. Please assist.

3. How do I switch the product from a gift?

Switch the product from gift to gift.


This tool will automatically switch the product I've tried different settings and configurations on my {product_purchased}, but the issue persists.",Pending Customer Response,No resolution provided,Medium,Chat,2023-06-01 06:26:47,Not available,-1.0,298,12,0,1,1,0,1,0,0
2944,69,Female,Google Nest,2021-04-11,Product inquiry,Installation support,"I'm having an issue with the {product_purchased}. Please assist. #include <u> @include ""<u>{rpi}, @import {rxpi}""; }

This will be the first set of functions that I've already contacted customer support multiple times, but the issue remains unresolved.","Installation support I'm having an issue with the {product_purchased}. Please assist. #include <u> @include ""<u>{rpi}, @import {rxpi}""; }

This will be the first set of functions that I've already contacted customer support multiple times, but the issue remains unresolved.",Open,No resolution provided,Critical,Email,Not available,Not available,-1.0,252,20,0,1,1,1,1,0,0
6985,18,Female,Garmin Forerunner,2020-07-25,Billing inquiry,Account access,"I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?

Microsoft recommends you follow these steps, on the Start menu, right-click a I've checked for any available software updates for my {product_purchased}, but there are none.","Account access I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?

Microsoft recommends you follow these steps, on the Start menu, right-click a I've checked for any available software updates for my {product_purchased}, but there are none.",Closed,Continue her side bag for in.,High,Phone,2023-06-01 05:25:59,2023-06-01 10:09:59,1.0,313,14,29,0,0,0,0,0,0
2128,36,Female,LG Washing Machine,2021-09-14,Refund request,Peripheral compatibility,"I'm having an issue with the {product_purchased}. Please assist.

""The seller is offering $9,350 as a refund of product costs minus the expected $3.50 in warranty. "" I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?","Peripheral compatibility I'm having an issue with the {product_purchased}. Please assist.

""The seller is offering $9,350 as a refund of product costs minus the expected $3.50 in warranty. "" I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Closed,Grow small senior carry news.,Low,Social media,2023-06-01 14:54:49,2023-06-01 06:27:49,2.0,294,24,29,0,0,0,0,0,0
1056,42,Other,Microsoft Surface,2020-05-17,Billing inquiry,Product setup,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue? I'm sorry! I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.","Product setup I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue? I'm sorry! I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.",Open,No resolution provided,High,Chat,Not available,Not available,-1.0,272,13,0,1,1,1,1,0,0
2572,31,Female,Sony 4K HDR TV,2020-07-25,Cancellation request,Delivery problem,"My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? Thanks

ReplyReply

ReplyReply Balloon: I've seen this issue I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.","Delivery problem My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? Thanks

ReplyReply

ReplyReply Balloon: I've seen this issue I've tried using different cables, adapters, or peripherals with my {product_purchased}, but the issue persists.",Pending Customer Response,No resolution provided,Medium,Phone,2023-06-01 17:37:08,Not available,-1.0,328,16,0,1,1,0,1,0,0
6780,43,Male,Nikon D,2021-09-28,Product inquiry,Network problem,"I'm having an issue with the {product_purchased}. Please assist.

Thanks!

~Dennis

A new game is available which I found to be pretty much better. All the options are in ""Create a I've already contacted customer support multiple times, but the issue remains unresolved.","Network problem I'm having an issue with the {product_purchased}. Please assist.

Thanks!

~Dennis

A new game is available which I found to be pretty much better. All the options are in ""Create a I've already contacted customer support multiple times, but the issue remains unresolved.",Closed,Blue rate lose inside whole young time.,Medium,Social media,2023-06-01 19:02:24,2023-06-01 02:08:24,4.0,270,15,39,0,0,0,0,0,0
3957,42,Female,Bose QuietComfort,2021-07-16,Billing inquiry,Delivery problem,"I'm having an issue with the {product_purchased}. Please assist.

* Update, delete, or delete this item

This Item is discontinued, or no longer available.

Please help us keep the order order current I need assistance as soon as possible because it's affecting my work and productivity.","Delivery problem I'm having an issue with the {product_purchased}. Please assist.

* Update, delete, or delete this item

This Item is discontinued, or no longer available.

Please help us keep the order order current I need assistance as soon as possible because it's affecting my work and productivity.",Open,No resolution provided,High,Chat,Not available,Not available,-1.0,287,16,0,1,1,1,1,0,0
2988,34,Female,Roomba Robot Vacuum,2020-05-21,Billing inquiry,Software bug,"I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?

There are This problem started occurring after the recent software update. I haven't made any other changes to the device.","Software bug I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?

There are This problem started occurring after the recent software update. I haven't made any other changes to the device.",Closed,Rate stop president yard market one people.,Critical,Phone,2023-06-01 07:21:19,2023-06-01 04:42:19,4.0,320,12,43,0,0,0,0,0,0
3101,27,Male,iPhone,2021-03-18,Cancellation request,Product setup,"I'm having an issue with the {product_purchased}. Please assist. — Mike O'Sullivan (@MikeO'Sullivan) January 9, 2015

As the tweet went viral online, more and more people shared their complaints about both I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?","Product setup I'm having an issue with the {product_purchased}. Please assist. — Mike O'Sullivan (@MikeO'Sullivan) January 9, 2015

As the tweet went viral online, more and more people shared their complaints about both I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Open,No resolution provided,Medium,Email,Not available,Not available,-1.0,345,13,0,1,1,1,1,0,0
3093,38,Male,Sony 4K HDR TV,2020-02-12,Cancellation request,Battery life,"I'm having an issue with the {product_purchased}. Please assist.

Note: The payment for the services are not currently paid, or they are not available for your purchases. We have received some enquiry as to whether that This problem started occurring after the recent software update. I haven't made any other changes to the device.","Battery life I'm having an issue with the {product_purchased}. Please assist.

Note: The payment for the services are not currently paid, or they are not available for your purchases. We have received some enquiry as to whether that This problem started occurring after the recent software update. I haven't made any other changes to the device.",Open,No resolution provided,Medium,Email,Not available,Not available,-1.0,332,12,0,1,1,1,1,0,0
2523,32,Male,Nikon D,2021-12-11,Technical issue,Product setup,"I'm having an issue with the {product_purchased}. Please assist.

Please provide a valid email address which matches the ID you specified for the product in the product description and email the email address.

Please show an error I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.","Product setup I'm having an issue with the {product_purchased}. Please assist.

Please provide a valid email address which matches the ID you specified for the product in the product description and email the email address.

Please show an error I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help.",Closed,Sister surface skin site.,Low,Email,2023-06-01 10:31:56,2023-06-01 20:44:56,4.0,346,13,25,0,0,0,0,0,0
234,67,Other,Bose SoundLink Speaker,2021-02-01,Refund request,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist. Thanks! I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?","Hardware issue I'm having an issue with the {product_purchased}. Please assist. Thanks! I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Pending Customer Response,No resolution provided,High,Chat,2023-06-01 13:13:09,Not available,-1.0,212,14,0,1,1,0,1,0,0
869,65,Other,Dyson Vacuum Cleaner,2021-03-17,Cancellation request,Product compatibility,"I'm having an issue with the {product_purchased}. Please assist. Thank you.

I'm having an issue with the {product_purchased}. Please assist. Thank you.

I'm having an issue with I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.","Product compatibility I'm having an issue with the {product_purchased}. Please assist. Thank you.

I'm having an issue with the {product_purchased}. Please assist. Thank you.

I'm having an issue with I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Pending Customer Response,No resolution provided,Critical,Phone,2023-06-01 15:58:35,Not available,-1.0,284,21,0,1,1,0,1,0,0
2535,63,Female,Autodesk AutoCAD,2020-08-25,Refund request,Delivery problem,"I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?

You can recover your login by resetting your password in the {product_p I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.","Delivery problem I've forgotten my password for my {product_purchased} account, and the password reset option is not working. How can I recover my account?

You can recover your login by resetting your password in the {product_p I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Open,No resolution provided,Critical,Email,Not available,Not available,-1.0,318,16,0,1,1,1,1,0,0
7227,63,Male,Amazon Kindle,2020-07-15,Product inquiry,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. -S @david@mei_mai_ui_wu @geolphobee @geolphobee @m_mai I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.","Payment issue I'm having an issue with the {product_purchased}. Please assist. -S @david@mei_mai_ui_wu @geolphobee @geolphobee @m_mai I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Pending Customer Response,No resolution provided,High,Phone,2023-06-01 15:20:26,Not available,-1.0,226,13,0,1,1,0,1,0,0
5772,26,Female,Nikon D,2021-07-06,Product inquiry,Peripheral compatibility,"I'm having an issue with the {product_purchased}. Please assist.

Thanks!

Pawel


Offline


Activity: 112

Merit: 10


MemberActivity: 112Merit: 10 Re: The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.","Peripheral compatibility I'm having an issue with the {product_purchased}. Please assist.

Thanks!

Pawel


Offline


Activity: 112

Merit: 10


MemberActivity: 112Merit: 10 Re: The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.",Closed,Mother certainly responsibility discuss.,Medium,Chat,2023-06-01 11:31:10,2023-06-01 04:41:10,3.0,256,24,40,0,0,0,0,0,0
4923,21,Female,Autodesk AutoCAD,2021-12-06,Technical issue,Account access,I'm having an issue with the {product_purchased}. Please assist. This problem started occurring after the recent software update. I haven't made any other changes to the device.,Account access I'm having an issue with the {product_purchased}. Please assist. This problem started occurring after the recent software update. I haven't made any other changes to the device.,Open,No resolution provided,Critical,Chat,Not available,Not available,-1.0,177,14,0,1,1,1,1,0,0
6663,37,Other,Autodesk AutoCAD,2020-06-04,Product inquiry,Delivery problem,"I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

I'm receiving these messages frequently from the public, who have I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.","Delivery problem I'm encountering a software bug in the {product_purchased}. Whenever I try to perform a specific action, the application crashes. Are there any updates or fixes available?

I'm receiving these messages frequently from the public, who have I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Pending Customer Response,No resolution provided,High,Social media,2023-06-01 21:39:31,Not available,-1.0,344,16,0,1,1,0,1,0,0
4929,40,Female,Bose SoundLink Speaker,2021-08-17,Technical issue,Payment issue,"I'm having trouble connecting my {product_purchased} to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue? First of all, enable the I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?","Payment issue I'm having trouble connecting my {product_purchased} to my home Wi-Fi network. It doesn't detect any networks, although other devices are connecting fine. What can be done to resolve this issue? First of all, enable the I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Open,No resolution provided,Low,Chat,Not available,Not available,-1.0,359,13,0,1,1,1,1,0,0
6347,35,Female,Nest Thermostat,2021-02-19,Product inquiry,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. I'm trying to create a ""new"" product that is new to the same company. Please help. I hope the new product I have is working out well. I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.","Payment issue I'm having an issue with the {product_purchased}. Please assist. I'm trying to create a ""new"" product that is new to the same company. Please help. I hope the new product I have is working out well. I've noticed that the issue occurs consistently when I use a specific feature or application on my {product_purchased}.",Open,No resolution provided,Critical,Phone,Not available,Not available,-1.0,318,13,0,1,1,1,1,0,0
2139,38,Other,GoPro Action Camera,2020-01-20,Cancellation request,Software bug,"I'm having an issue with the {product_purchased}. Please assist.

Product Details

Dotable

Available in either a white or grey.

Color Information

Please note that this product has been made I've already contacted customer support multiple times, but the issue remains unresolved.","Software bug I'm having an issue with the {product_purchased}. Please assist.

Product Details

Dotable

Available in either a white or grey.

Color Information

Please note that this product has been made I've already contacted customer support multiple times, but the issue remains unresolved.",Closed,Unit hard cultural.,Critical,Phone,2023-06-01 08:23:03,2023-06-01 00:03:03,3.0,282,12,19,0,0,0,0,0,0
34,50,Male,Autodesk AutoCAD,2021-12-09,Refund request,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist. We hope that every vendor takes the time it takes in to do the following: ""Remove the product from your account - notify consumers, call them, make their I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.","Hardware issue I'm having an issue with the {product_purchased}. Please assist. We hope that every vendor takes the time it takes in to do the following: ""Remove the product from your account - notify consumers, call them, make their I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe.",Closed,However financial development significant camera job every.,Critical,Social media,2023-06-01 02:01:23,2023-06-01 18:25:23,5.0,324,14,59,0,0,0,0,0,0
4162,26,Other,Sony Xperia,2020-10-21,Billing inquiry,Payment issue,"I'm having an issue with the {product_purchased}. Please assist. #purchase #id=1422 #product_sell #id=1421 #value@product_purchased #id=1420 #product_ I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.","Payment issue I'm having an issue with the {product_purchased}. Please assist. #purchase #id=1422 #product_sell #id=1421 #value@product_purchased #id=1420 #product_ I've reviewed the troubleshooting steps on the official support website, but they didn't resolve the problem.",Pending Customer Response,No resolution provided,Low,Chat,2023-06-01 18:05:23,Not available,-1.0,260,13,0,1,1,0,1,0,0
5509,64,Male,Xbox,2021-06-10,Refund request,Hardware issue,"I'm having an issue with the {product_purchased}. Please assist.

""Products that have been purchased at that time are now out of stock. Thank you for your support. The {product_purchased} will get I'm using the original charger that came with my {product_purchased}, but it's not charging properly.","Hardware issue I'm having an issue with the {product_purchased}. Please assist.

""Products that have been purchased at that time are now out of stock. Thank you for your support. The {product_purchased} will get I'm using the original charger that came with my {product_purchased}, but it's not charging properly.",Open,No resolution provided,Critical,Email,Not available,Not available,-1.0,298,14,0,1,1,1,1,0,0
4462,34,Male,Nikon D,2020-10-29,Technical issue,Cancellation request,"I'm having an issue with the {product_purchased}. Please assist.

1.1.1.1 - Fix for issue #1115

1.1.5.1 - Fixed some typo

1. I've already contacted customer support multiple times, but the issue remains unresolved.","Cancellation request I'm having an issue with the {product_purchased}. Please assist.

1.1.1.1 - Fix for issue #1115

1.1.5.1 - Fixed some typo

1. I've already contacted customer support multiple times, but the issue remains unresolved.",Pending Customer Response,No resolution provided,High,Phone,2023-06-01 19:33:13,Not available,-1.0,216,20,0,1,1,0,1,0,0
4904,19,Male,Amazon Echo,2021-12-19,Refund request,Refund request,"My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? I want to know what other people have done to this machine. Could you please I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.","Refund request My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? I want to know what other people have done to this machine. Could you please I'm experiencing this issue on multiple devices of the same model, so it seems to be a widespread problem.",Open,No resolution provided,Medium,Phone,Not available,Not available,-1.0,338,14,0,1,1,1,1,0,0
361,42,Male,Nintendo Switch Pro Controller,2020-02-05,Cancellation request,Network problem,"I'm having an issue with the {product_purchased}. Please assist.

If your account has an account holder you need to create an account. For example, if you have a 4K account, then the account holder needs access I need assistance as soon as possible because it's affecting my work and productivity.","Network problem I'm having an issue with the {product_purchased}. Please assist.

If your account has an account holder you need to create an account. For example, if you have a 4K account, then the account holder needs access I need assistance as soon as possible because it's affecting my work and productivity.",Closed,Report recently what later appear she.,Medium,Email,2023-06-01 06:19:52,2023-06-01 08:39:52,5.0,297,15,38,0,0,0,0,0,0
2580,48,Other,Sony PlayStation,2021-07-15,Technical issue,Data loss,"I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?

If you've already set up your router and connected via a modem I've already contacted customer support multiple times, but the issue remains unresolved.","Data loss I've recently set up my {product_purchased}, but it fails to connect to any available networks. What steps should I take to troubleshoot this issue?

If you've already set up your router and connected via a modem I've already contacted customer support multiple times, but the issue remains unresolved.",Closed,Never people ever close kind research type test.,Medium,Chat,2023-06-01 18:26:18,2023-06-01 05:12:18,3.0,302,9,48,0,0,0,0,0,0
7308,30,Male,Nest Thermostat,2021-09-17,Cancellation request,Battery life,"I'm having an issue with the {product_purchased}. Please assist.

My question?

Does the Product Purchase Policy address the current availability (if at all) of the product we provide?

Please see the FAQ I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?","Battery life I'm having an issue with the {product_purchased}. Please assist.

My question?

Does the Product Purchase Policy address the current availability (if at all) of the product we provide?

Please see the FAQ I've recently updated the firmware of my {product_purchased}, and the issue started happening afterward. Could it be related to the update?",Pending Customer Response,No resolution provided,Critical,Phone,2023-06-01 20:25:17,Not available,-1.0,344,12,0,1,1,0,1,0,0
2813,64,Other,Canon EOS,2021-05-21,Refund request,Installation support,"I'm having an issue with the {product_purchased}. Please assist. - Please also help me with further problems like the {productID} has been changed.

I'm having an issue with the {product_purchased I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?","Installation support I'm having an issue with the {product_purchased}. Please assist. - Please also help me with further problems like the {productID} has been changed.

I'm having an issue with the {product_purchased I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?",Open,No resolution provided,Low,Email,Not available,Not available,-1.0,325,20,0,1,1,1,1,0,0
8133,29,Male,Amazon Kindle,2020-12-03,Refund request,Network problem,"I'm having an issue with the {product_purchased}. Please assist.


I am having an issue with the {product_purchased}. Please assist. I am having an issue with the {product_purchased}. I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.","Network problem I'm having an issue with the {product_purchased}. Please assist.


I am having an issue with the {product_purchased}. Please assist. I am having an issue with the {product_purchased}. I've followed online tutorials and community forums to troubleshoot the issue, but no luck so far.",Pending Customer Response,No resolution provided,Low,Email,2023-06-01 17:52:50,Not available,-1.0,282,15,0,1,1,0,1,0,0
